featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
gradient_firstorder_Mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glszm_GrayLevelNonUniformity,355,316,335,300,521,487,495,462,654,599,609,559,789,685,684,601,871,690,685,534
square_glrlm_ShortRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_firstorder_InterquartileRange,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
wavelet.HLH_glcm_Correlation,11,9,10,8,13,12,12,12,11,10,10,9,9,6,6,4,3,2,3,2
wavelet.LHL_glszm_HighGrayLevelZoneEmphasis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glcm_JointAverage,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
exponential_gldm_SmallDependenceEmphasis,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,14,13,14,13,23,23,21,21,10,8,10,8,7,6,7,6,10,8,8,6
square_gldm_LargeDependenceHighGrayLevelEmphasis,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
lbp.2D_gldm_DependenceNonUniformity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glcm_JointAverage,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exponential_glcm_Autocorrelation,1,1,1,1,1,0,1,0,3,3,3,3,3,2,2,2,1,1,1,1
original_glrlm_RunVariance,2,2,2,2,1,1,1,1,0,0,0,0,2,2,1,1,3,3,2,2
exponential_firstorder_10Percentile,3,2,3,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0
gradient_glszm_GrayLevelNonUniformityNormalized,8,6,8,6,17,17,17,17,29,29,28,28,42,41,39,38,36,32,25,21
log.sigma.3.mm.3D_glrlm_GrayLevelVariance,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
