featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
wavelet.LLH_glszm_SmallAreaEmphasis,12,8,6,5,4,3,2,2,12,8,9,5,9,6,6,4,4,0,1,0
wavelet.HLH_glszm_GrayLevelVariance,5,5,4,4,10,8,10,8,13,9,10,7,20,14,14,9,25,12,12,7
original_shape_Flatness,214,177,187,160,284,225,246,200,400,307,313,244,501,353,359,252,643,421,388,257
wavelet.LHH_gldm_GrayLevelVariance,2,1,2,1,7,5,7,5,7,5,5,3,10,7,8,5,23,12,9,5
log.sigma.5.mm.3D_glcm_SumAverage,7,4,3,3,4,2,4,2,5,2,3,0,2,0,0,0,0,0,0,0
gradient_firstorder_Mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_glszm_GrayLevelNonUniformity,329,272,276,237,520,419,445,365,655,525,515,421,789,578,573,415,880,580,518,352
square_glrlm_ShortRunEmphasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_firstorder_InterquartileRange,12,7,10,7,10,7,5,2,17,10,12,7,6,4,3,2,1,1,1,1
wavelet.HLH_glcm_Correlation,6,4,5,4,12,6,11,6,11,9,9,8,7,5,6,4,5,4,4,3
wavelet.LHL_glszm_HighGrayLevelZoneEmphasis,1,1,1,1,1,1,1,1,3,3,2,1,3,2,0,0,3,1,1,0
wavelet.LLH_glcm_JointAverage,11,11,11,11,16,15,10,10,29,25,20,15,24,12,11,6,23,9,11,3
exponential_gldm_SmallDependenceEmphasis,0,0,0,0,3,1,3,1,4,4,2,2,6,6,3,3,17,9,9,4
wavelet.LHL_glszm_LargeAreaHighGrayLevelEmphasis,11,8,7,7,10,6,8,5,9,6,7,5,8,6,5,4,4,2,2,1
square_gldm_LargeDependenceHighGrayLevelEmphasis,17,12,14,11,34,28,30,26,48,37,37,30,71,55,52,41,70,44,38,25
lbp.2D_gldm_DependenceNonUniformity,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
log.sigma.3.mm.3D_glcm_JointAverage,3,1,1,0,7,4,4,1,5,2,3,2,3,1,2,1,0,0,0,0
exponential_glcm_Autocorrelation,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,1
original_glrlm_RunVariance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
exponential_firstorder_10Percentile,8,5,8,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
gradient_glszm_GrayLevelNonUniformityNormalized,37,34,36,33,55,47,49,44,50,39,30,25,42,29,24,17,42,24,29,17
log.sigma.3.mm.3D_glrlm_GrayLevelVariance,2,2,2,2,4,3,4,3,8,6,4,4,4,1,4,1,7,4,2,1
logarithm_firstorder_Maximum,50,41,49,41,59,49,49,42,118,99,89,77,150,117,103,77,222,155,117,82
